ID_BANDA,HERMANDAD,TITULAR,ANIO,FUENTE,NOTA,LOCALIDAD
91,La Mision,Cruz de Guia,2026,musicofrades.com,,Sevilla
16,La Mision,Paso de Misterio,2026,musicofrades.com,,Sevilla
273,Dulce Nombre de Bellavista,Cruz de Guia,2026,musicofrades.com,,Sevilla
11,Dulce Nombre de Bellavista,Paso de Misterio,2026,musicofrades.com,,Sevilla
279,Pino Montano,Cruz de Guia,2026,musicofrades.com,,Sevilla
64,Pino Montano,Paso de Misterio,2026,musicofrades.com,,Sevilla
278,Bendicion y Esperanza,Cruz de Guia,2026,musicofrades.com,,Sevilla
267,Bendicion y Esperanza,Paso de Misterio,2026,musicofrades.com,,Sevilla
71,Paz y Misericordia,Paso de Misterio,2026,musicofrades.com,,Sevilla
276,La Milagrosa,Cruz de Guia,2026,musicofrades.com,,Sevilla
6,La Milagrosa,Paso de Misterio,2026,musicofrades.com,,Sevilla
279,Dolores de Torreblanca,Cruz de Guia,2026,musicofrades.com,,Sevilla
28,Dolores de Torreblanca,Paso de Misterio,2026,musicofrades.com,,Sevilla
277,Divino Perdon de Alcosa,Cruz de Guia,2026,musicofrades.com,,Sevilla
64,Divino Perdon de Alcosa,Paso de Misterio,2026,musicofrades.com,,Sevilla
157,San Jose Obrero,Cruz de Guia,2026,musicofrades.com,,Sevilla
26,San Jose Obrero,Paso de Misterio,2026,musicofrades.com,,Sevilla
69,Padre Pio,Paso de Misterio,2026,musicofrades.com,,Sevilla
55,San Jeronimo,Paso de Misterio,2026,musicofrades.com,,Sevilla
7,Las Maravillas,Paso de Misterio,2026,musicofrades.com,,Sevilla
273,La Espiga,Cruz de Guia,2026,musicofrades.com,,Sevilla
11,La Espiga,Paso de Misterio,2026,musicofrades.com,,Sevilla
91,La Borriquita,Cruz de Guia,2026,musicofrades.com,,Sevilla
7,La Borriquita,Paso de Misterio,2026,musicofrades.com,,Sevilla
276,Jesus Despojado,Cruz de Guia,2026,musicofrades.com,,Sevilla
6,Jesus Despojado,Paso de Misterio,2026,musicofrades.com,,Sevilla
275,La Hiniesta,Cruz de Guia,2026,musicofrades.com,comparte paso,Sevilla
157,La Hiniesta,Cruz de Guia,2026,musicofrades.com,comparte paso,Sevilla
22,La Hiniesta,Paso de Misterio,2026,musicofrades.com,,Sevilla
279,La Paz,Cruz de Guia,2026,musicofrades.com,,Sevilla
64,La Paz,Paso de Misterio,2026,musicofrades.com,,Sevilla
16,La Cena,Paso de Misterio,2026,musicofrades.com,,Sevilla
157,San Roque,Cruz de Guia,2026,musicofrades.com,,Sevilla
141,San Roque,Paso de Misterio,2026,musicofrades.com,,Sevilla
20,La Amargura,Paso de Misterio,2026,musicofrades.com,,Sevilla
280,La Estrella,Cruz de Guia,2026,musicofrades.com,,Sevilla
24,La Estrella,Paso de Misterio,2026,musicofrades.com,,Sevilla
275,San Pablo,Cruz de Guia,2026,musicofrades.com,comparte paso,Sevilla
276,San Pablo,Cruz de Guia,2026,musicofrades.com,comparte paso,Sevilla
22,San Pablo,Paso de Misterio,2026,musicofrades.com,comparte paso,Sevilla
6,San Pablo,Paso de Misterio,2026,musicofrades.com,comparte paso,Sevilla
273,La Redencion,Cruz de Guia,2026,musicofrades.com,,Sevilla
11,La Redencion,Paso de Misterio,2026,musicofrades.com,,Sevilla
157,Santa Genoveva,Cruz de Guia,2026,musicofrades.com,,Sevilla
48,Santa Genoveva,Paso de Misterio,2026,musicofrades.com,,Sevilla
91,San Gonzalo,Cruz de Guia,2026,musicofrades.com,,Sevilla
16,San Gonzalo,Paso de Misterio,2026,musicofrades.com,,Sevilla
279,Las Aguas,Cruz de Guia,2026,musicofrades.com,,Sevilla
24,Las Aguas,Paso de Misterio,2026,musicofrades.com,,Sevilla
71,El Cerro del Aguila,Cruz de Guia,2026,musicofrades.com,,Sevilla
141,El Cerro del Aguila,Paso del Nazareno,2026,musicofrades.com,,Sevilla
5,El Cerro del Aguila,Paso de Misterio,2026,musicofrades.com,,Sevilla
274,San Benito,Cruz de Guia,2026,musicofrades.com,,Sevilla
64,San Benito,Paso de Misterio,2026,musicofrades.com,,Sevilla
32,San Benito,Paso de Cristo,2026,musicofrades.com,,Sevilla
16,El Dulce Nombre,Paso de Misterio,2026,musicofrades.com,,Sevilla
279,La Candelaria,Cruz de Guia,2026,musicofrades.com,,Sevilla
20,La Candelaria,Paso de Misterio,2026,musicofrades.com,,Sevilla
6,San Esteban,Paso de Misterio,2026,musicofrades.com,,Sevilla
48,El Carmen Doloroso,Paso de Misterio,2026,musicofrades.com,,Sevilla
278,La Sed,Cruz de Guia,2026,musicofrades.com,,Sevilla
24,La Sed,Paso de Cristo,2026,musicofrades.com,,Sevilla
279,El Buen Fin,Cruz de Guia,2026,musicofrades.com,,Sevilla
5,El Buen Fin,Paso de Misterio,2026,musicofrades.com,,Sevilla
281,San Bernardo,Cruz de Guia,2026,musicofrades.com,,Sevilla
23,San Bernardo,Paso de Misterio,2026,musicofrades.com,,Sevilla
273,La Lanzada,Cruz de Guia,2026,musicofrades.com,,Sevilla
20,La Lanzada,Paso de Misterio,2026,musicofrades.com,,Sevilla
157,El Baratillo,Cruz de Guia,2026,musicofrades.com,,Sevilla
7,El Baratillo,Paso de Misterio,2026,musicofrades.com,,Sevilla
16,Los Panaderos,Paso de Misterio,2026,musicofrades.com,,Sevilla
113,Las Siete Palabras,Paso de Cristo,2026,musicofrades.com,,Sevilla
24,La Exaltacion,Paso de Misterio,2026,musicofrades.com,,Sevilla
91,Las Cigarreras,Cruz de Guia,2026,musicofrades.com,,Sevilla
16,Las Cigarreras,Paso de Misterio,2026,musicofrades.com,,Sevilla
275,Montesion,Paso de Misterio,2026,musicofrades.com,,Sevilla
279,La Macarena,Cruz de Guia,2026,musicofrades.com,,Sevilla
5,La Macarena,Paso de Misterio,2026,musicofrades.com,,Sevilla
36,La Esperanza de Triana,Cruz de Guia,2026,musicofrades.com,,Sevilla
20,La Esperanza de Triana,Paso de Misterio,2026,musicofrades.com,,Sevilla
157,Los Gitanos,Cruz de Guia,2026,musicofrades.com,,Sevilla
26,Los Gitanos,Paso de Misterio,2026,musicofrades.com,,Sevilla
16,La Carreteria,Paso de Misterio,2026,musicofrades.com,,Sevilla
7,La O,Paso de Misterio,2026,musicofrades.com,,Sevilla
20,Montserrat,Paso de Misterio,2026,musicofrades.com,,Sevilla
267,El Sol,Cruz de Guia,2026,musicofrades.com,,Sevilla
7,El Sol,Paso de Misterio,2026,musicofrades.com,,Sevilla
91,La Trinidad,Cruz de Guia,2026,musicofrades.com,,Sevilla
16,La Trinidad,Paso Alegorico,2026,musicofrades.com,,Sevilla
20,La Trinidad,Paso de Misterio,2026,musicofrades.com,,Sevilla
276,La Resurreccion,Cruz de Guia,2026,musicofrades.com,,Sevilla
6,La Resurreccion,Paso de Misterio,2026,musicofrades.com,,Sevilla
