ID_BANDA;BANDA;TITULO;ANIO;ESTILO;FUENTE;DISCO;URL;FLAGS;MATCH
10;AM Afligidos;Bajo tu Misericordia;2024;AM;deezer;Bajo tu Misericordia (Instrumental Version);https://www.deezer.com/track/2609741512;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.857
10;AM Afligidos;Caballero Andaluz;2026;AM;deezer;PRIMAVERA PONTANA - AFLIGIDOS;https://www.deezer.com/track/3842523811;sin_autor_detectado,banda_estreno_sin_verificar;
10;AM Afligidos;Enriquetilla;2026;AM;deezer;PRIMAVERA PONTANA - AFLIGIDOS;https://www.deezer.com/track/3842523821;sin_autor_detectado,banda_estreno_sin_verificar;
10;AM Afligidos;Eterna Expiración;2025;AM;deezer;LA MÚSICA PARA EL SEÑOR - AFLIGIDOS - PUENTE GENIL;https://www.deezer.com/track/3288100781;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.8
10;AM Afligidos;Franciscana Penitencia;2023;AM;deezer;Y fui tu Costalero... (Acoustic Versions);https://www.deezer.com/track/2560195302;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.772
10;AM Afligidos;Gloria al Muerto;2026;AM;deezer;PRIMAVERA PONTANA - AFLIGIDOS;https://www.deezer.com/track/3842523831;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.774
10;AM Afligidos;La Música Para El Señor;2025;AM;deezer;LA MÚSICA PARA EL SEÑOR - AFLIGIDOS - PUENTE GENIL;https://www.deezer.com/track/3288100721;sin_autor_detectado,banda_estreno_sin_verificar;
10;AM Afligidos;Lithostrotos;2025;AM;deezer;CONCIERTO SANTA CECILIA 2025 (En Vivo);https://www.deezer.com/track/3745479602;sin_autor_detectado,banda_estreno_sin_verificar;
10;AM Afligidos;Luz de los Afligidos;2024;AM;deezer;Luz de los Afligidos (Instrumental Version);https://www.deezer.com/track/2624087272;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.81
10;AM Afligidos;Misterio De La Presentación;2025;AM;deezer;LA MÚSICA PARA EL SEÑOR - AFLIGIDOS - PUENTE GENIL;https://www.deezer.com/track/3288100741;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.885
10;AM Afligidos;Plegaria a la Virgen de los Desamparados;2026;AM;deezer;PRIMAVERA PONTANA - AFLIGIDOS;https://www.deezer.com/track/3842523841;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.784
10;AM Afligidos;Quiero Ser Pontanés;2026;AM;deezer;PRIMAVERA PONTANA - AFLIGIDOS;https://www.deezer.com/track/3842523801;sin_autor_detectado,banda_estreno_sin_verificar;
10;AM Afligidos;Satispen Tali;2025;AM;deezer;Satispen Tali - Directo;https://www.deezer.com/track/3670517502;sin_autor_detectado,banda_estreno_sin_verificar;
74;AM Carlos III;Himno Cofrade;2009;AM;apple;Entrada Triunfal;https://music.apple.com/es/album/himno-cofrade/301928280?i=301928372&uo=4;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.75
74;AM Carlos III;La Salve Cantora;2009;AM;apple;Entrada Triunfal;https://music.apple.com/es/album/la-salve-cantora/301928280?i=301928360&uo=4;sin_autor_detectado,posible_duplicado,banda_estreno_sin_verificar;0.897
