ref;TITULO;FECHA;ESTILO;TIPO;LOCALIDAD;PROVINCIA;DEDICATORIA;DURACION_SEG;AUTOR;BANDA_ESTRENO_CANDIDATA;DETALLES_MARCHA;DATOS_INT;MOTIVO;DISCO_ORIGEN;INSERTADA
M1;La salve;;AM;;;;;255;Martín Martín, Juan José - PROPUESTA DESCARTADA, sin autor resuelto: investigar manualmente;"(AM)Nuestra Señora de la Victoria (Arahal) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/74/;
M2;Salud y refugio;;AM;;;;;;García Pérez, Gualberto (id 297, ya en BD);"(AM)Nuestro Padre Jesús Despojado de sus Vestiduras (Sevilla) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/112/;
M6;Misericordia;;AM;;;;;;Lancharro Cordero, Luis Joaquín (id 246, ya en BD);"(AM)Nuestro Padre Jesús Despojado de sus Vestiduras (Sevilla) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/112/;
M11;Abrid las puertas a cristo;;AM;;;;;180;De la Cruz, H.H (autor nuevo, sin alta todavía);AM Virgen de los Reyes (id 6, ya en BD) [origen: (AM)Nuestra Señora de los Reyes (Sevilla)];;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/117/;
M12;Réquiem a santa marina;;AM;;;;;287;Carrasco Benítez, Francisco José (id 31, ya en BD);AM Virgen de los Reyes (id 6, ya en BD) [origen: (AM)Nuestra Señora de los Reyes (Sevilla)];;;B_titulo_parecido_otro_autor;https://discografiasdemarchasprocesionales.com/discos/204/;
M13;Salve a la macarena;;AM;;;;;340;Jurado Marín, Manuel Jesús (autor nuevo, sin alta todavía);AM Virgen de los Reyes (id 6, ya en BD) [origen: (AM)Nuestra Señora de los Reyes (Sevilla)];;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/205/;
M29;La lanzada;;CCTT;;Sevilla;;B.C.T.Policia Armada;213;Montoya Alegre, Ramón - PROPUESTA DESCARTADA, sin autor resuelto: investigar manualmente;"(CT)Stmo.Cristo de las Tres Caídas (Sevilla) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/378/;
M30;La oración del huerto;;CCTT;;;;;210;Montoya Alegre, Ramón - PROPUESTA DESCARTADA, sin autor resuelto: investigar manualmente;"(CT)Stmo.Cristo de las Tres Caídas (Sevilla) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/378/;
M33;Rocío del cielo;;AM;;;;;;Velázquez Sánchez, Juan (id 372, ya en BD);NO DETERMINADA (varias bandas en la página del disco de origen);;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/419/;
M34;La pasión;;AM;;;;;;Sebastian Bach, Juan (autor nuevo, sin alta todavía);"(AM)Nuestro Padre Jesús de la Redención (Sevilla) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/420/;
M38;Al cielo el rey de triana;;CCTT;;;;;280;SIN AUTOR IDENTIFICADO - investigar manualmente;"(CT)Stmo.Cristo de las Tres Caídas (Sevilla) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;V_autor_generico_origen;https://discografiasdemarchasprocesionales.com/discos/436/;
M41;Dulce nombre;;CCTT;;;;;;Cebrero Miranda, Ángel Manuel (id 78, ya en BD);"(CT)Stmo.Cristo de las Tres Caídas (Sevilla) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/496/;
M43;Cristo de la sangre;1928;CCTT;;;;;215;Escámez López, Alberto (id 84, ya en BD);"(CT)Stmo.Cristo de las Tres Caídas (Sevilla) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/514/;
M45;La santa espina;;AM;;;;;218;Morera i Viura, Enric (autor nuevo, sin alta todavía);"(AM)Nuestro Padre Jesús de la Redención (Sevilla) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/548/;
M48;Jesús de la redención;;AM;;;;;;Sebastian Bach, Juan (autor nuevo, sin alta todavía);"(AM)Nuestra Señora de la Encarnación (Sevilla) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/601/;
M50;Jesús de nazaret;;AM;;;;;;Sebastian Bach, Juan (autor nuevo, sin alta todavía);"(AM)Nuestra Señora de la Encarnación (Sevilla) - candidata segun disco de origen, sin cruzar con la BD; buscar en el desplegable del formulario por si ya existe con otro nombre";;;E_homonima_otro_autor;https://discografiasdemarchasprocesionales.com/discos/601/;
